# num_particles cpu gpu16 gpu32 gpu64 gpu128 gpu256
1e4 2.296820e-01 2.263281e-01 2.741721e-01 1.849539e-01 2.650340e-01 8.269970e-01
1e5 1.257251e+00 1.217863e+00 1.234963e+00 1.238583e+00 1.239130e+00 8.560443e+00
1e6 1.177080e+01 1.189568e+01 1.195157e+01 1.220804e+01 1.213333e+01 8.700122e+01
